hora,cpu,ram,disco,net_enviada,net_recibida
2026-05-11 19:43:29,2.5,75.4,22.7,523973601,2274398165
2026-05-11 19:43:30,3.3,75.4,22.7,523973601,2274398207
2026-05-11 19:43:31,1.9,75.5,22.7,523973656,2274398465
2026-05-11 19:43:32,3.2,75.5,22.7,523973727,2274398591
2026-05-11 19:43:33,2.7,75.5,22.7,523973782,2274398759
2026-05-11 19:43:34,4.8,75.5,22.7,523977011,2274402832
2026-05-11 19:43:35,3.7,75.5,22.7,523978829,2274407009
2026-05-11 19:43:36,3.8,75.5,22.7,523979324,2274413478
2026-05-11 19:43:37,5.0,75.5,22.7,523979485,2274414250
2026-05-11 19:43:38,8.3,76.2,22.7,524031691,2274422831
2026-05-11 19:43:39,10.8,76.4,22.7,524086573,2274491558
2026-05-11 19:43:40,14.2,76.4,22.7,524086644,2274491726
2026-05-11 19:43:41,9.2,76.4,22.7,524086644,2274491828
2026-05-11 19:43:42,35.7,76.6,22.7,524176247,2274496782
2026-05-11 19:43:43,12.3,76.4,22.7,524177902,2274517356
2026-05-11 19:43:44,8.0,76.4,22.7,524178606,2274517524
2026-05-11 19:43:45,7.5,76.5,22.7,524218393,2274544188
2026-05-11 19:43:46,6.6,76.5,22.7,524219878,2274547347
2026-05-11 19:43:47,5.0,76.5,22.7,524286895,2274549542
2026-05-11 19:43:48,5.1,76.4,22.7,524287055,2274549863
2026-05-11 19:43:49,7.1,76.3,22.7,524777578,2274574125
2026-05-11 19:43:50,4.6,76.2,22.7,524779450,2274589060
2026-05-11 19:43:51,2.6,75.9,22.7,525263583,2274597588
2026-05-11 19:43:52,4.9,75.6,22.7,525263673,2274597830
2026-05-11 19:43:53,3.6,75.7,22.7,525697076,2274606615
2026-05-11 19:43:54,4.7,75.7,22.7,525697537,2274607316
2026-05-11 19:43:55,3.9,75.6,22.7,526181929,2274615693
2026-05-11 19:43:56,3.4,75.6,22.7,526182196,2274616286
2026-05-11 19:43:57,3.8,75.7,22.7,526798455,2274620562
2026-05-11 19:43:58,4.5,75.6,22.7,526798888,2274629629
2026-05-11 19:43:59,5.7,75.6,22.7,527148865,2274629895
2026-05-11 19:44:00,7.1,75.6,22.7,527149116,2274636388
2026-05-11 19:44:01,4.6,75.8,22.7,527149116,2274636430
2026-05-11 19:44:02,6.4,75.7,22.7,527166188,2274637267
2026-05-11 19:44:03,5.6,75.7,22.7,527172920,2274641415
2026-05-11 19:44:04,4.2,75.7,22.7,527178230,2274647632
2026-05-11 19:44:05,3.7,75.8,22.7,527546019,2274655803
2026-05-11 19:44:06,4.2,75.8,22.7,527548215,2274666230
2026-05-11 19:44:07,3.9,75.8,22.7,527981811,2274674017
2026-05-11 19:44:08,4.6,75.8,22.7,527981882,2274674185
2026-05-11 19:44:09,5.4,75.8,22.7,528714479,2274674227
2026-05-11 19:44:10,5.3,75.7,22.7,528715127,2274687643
2026-05-11 19:44:11,5.0,75.7,22.7,528715127,2274687745
